CODE,HEX,DESCRIPTION
CE-113519-0,0x818E0008,SCE_ACCOUNT_MF_ERROR_EMAIL_UNVERIFIED
CE-113522-4,0x818E000B,SCE_ACCOUNT_MF_ERROR_EXPECTED_TRIVIAL_ERROR
CE-117140-4,0x818E000F,SCE_ACCOUNT_MF_ERROR_GEO_LOCATION_FAILED
CE-118451-0,0x818E001D,SCE_ACCOUNT_MF_ERROR_IGNORED_ENTITLEMENT_NAME
CE-117701-7,0x818E0018,SCE_ACCOUNT_MF_ERROR_INTERNAL_SERVER_ERROR
CE-113515-6,0x818E0004,SCE_ACCOUNT_MF_ERROR_INVALID_DOB
CE-117138-1,0x818E000D,SCE_ACCOUNT_MF_ERROR_INVALID_OPERATION
CE-117141-5,0x818E0010,SCE_ACCOUNT_MF_ERROR_INVALID_PARTNER_AUTHORIZE_LINK_URL
CE-117137-0,0x818E000C,SCE_ACCOUNT_MF_ERROR_KOREAN_TOSUA_PARSE_ERROR
CE-117704-0,0x818E001B,SCE_ACCOUNT_MF_ERROR_NETWORK_ERROR
CE-113516-7,0x818E0005,SCE_ACCOUNT_MF_ERROR_NO_PERMISSION_PARENTAL_CONTROL
CE-113513-4,0x818E0002,SCE_ACCOUNT_MF_ERROR_NO_SUCH_ROUTE
CE-117700-6,0x818E0017,SCE_ACCOUNT_MF_ERROR_RATE_LIMITED
CE-117139-2,0x818E000E,SCE_ACCOUNT_MF_ERROR_REALNAME_NOT_ALLOWED
CE-117694-8,0x818E0011,SCE_ACCOUNT_MF_ERROR_SERVER_CONNECTION_TIMEOUT
CE-117696-0,0x818E0013,SCE_ACCOUNT_MF_ERROR_SESSION_EXPIRED
CE-113520-2,0x818E0009,SCE_ACCOUNT_MF_ERROR_TOO_MANY_MOBILE_DEVICES
CE-117703-9,0x818E001A,SCE_ACCOUNT_MF_ERROR_UNDER_MAINTENANCE
CE-113514-5,0x818E0003,SCE_ACCOUNT_MF_ERROR_UNEXPECTED_JS_ERROR
CE-113511-2,0x818E0000,SCE_ACCOUNT_MF_ERROR_UNKNOWN
CE-118452-1,0x818E001E,SCE_ACCOUNT_MF_ERROR_UNSUPPORTED_AUTHENTICATION_TYPE
CE-113517-8,0x818E0006,SCE_ACCOUNT_MF_ERROR_USER_ALREADY_EXISTS
CE-113512-3,0x818E0001,SCE_ACCOUNT_MF_ERROR_YOUTUBE_INCREASING_PERMISSION_FAILED
CE-112058-7,0x81640006,SCE_AESOCKET_ERROR_ABORTED
CE-112054-3,0x81640002,SCE_AESOCKET_ERROR_ALREADY_INITED
CE-112053-2,0x81640001,SCE_AESOCKET_ERROR_BEFORE_INIT
CE-112066-6,0x8164000E,SCE_AESOCKET_ERROR_BROKEN_PAYLOAD
CE-112059-8,0x81640007,SCE_AESOCKET_ERROR_BUSY
CE-112061-1,0x81640009,SCE_AESOCKET_ERROR_EXPLICIT_IV_OVERFLOW
CE-112055-4,0x81640003,SCE_AESOCKET_ERROR_INVALID_ID
CE-112067-7,0x8164000F,SCE_AESOCKET_ERROR_INVALID_STATE
CE-112056-5,0x81640004,SCE_AESOCKET_ERROR_INVALID_VALUE
CE-112064-4,0x8164000C,SCE_AESOCKET_ERROR_NEGOTIATION_BROKEN_MSG
CE-112063-3,0x8164000B,SCE_AESOCKET_ERROR_NEGOTIATION_PARAM_MISMATCH
CE-112065-5,0x8164000D,SCE_AESOCKET_ERROR_NEGOTIATION_REFUSED
CE-112062-2,0x8164000A,SCE_AESOCKET_ERROR_NEGOTIATION_UNKNOWN_CSUITE
CE-112057-6,0x81640005,SCE_AESOCKET_ERROR_OUT_OF_MEMORY
CE-112060-0,0x81640008,SCE_AESOCKET_ERROR_OUT_OF_SIZE
CE-112069-9,0x81640011,SCE_AESOCKET_ERROR_SOCKET_RECV_INCOMPLETED
CE-112068-8,0x81640010,SCE_AESOCKET_ERROR_SOCKET_SEND_INCOMPLETED
CE-108793-8,0x80D90018,SCE_APP_CONTENT_ERROR_ADDCONT_ENFILE
CE-119259-7,0x80D90019,SCE_APP_CONTENT_ERROR_ADDCONT_NO_APR_METADATA_MEMORY
CE-108787-1,0x80D90012,SCE_APP_CONTENT_ERROR_ADDCONT_NO_IN_QUEUE
CE-108792-7,0x80D90017,SCE_APP_CONTENT_ERROR_ADDCONT_NO_SPACE
CE-108786-0,0x80D90011,SCE_APP_CONTENT_ERROR_ADDCONT_SHRANK
CE-108791-6,0x80D90016,SCE_APP_CONTENT_ERROR_BROKEN
CE-108772-5,0x80D90003,SCE_APP_CONTENT_ERROR_BUSY
CE-108783-7,0x80D9000E,SCE_APP_CONTENT_ERROR_CREATE_FULL
CE-108780-4,0x80D9000B,SCE_APP_CONTENT_ERROR_DOWNLOAD_ENTRY_FULL
CE-108776-9,0x80D90007,SCE_APP_CONTENT_ERROR_DRM_NO_ENTITLEMENT
CE-108794-9,0x80D91000,SCE_APP_CONTENT_ERROR_GET_STORE_COUNTRY
CE-108779-2,0x80D9000A,SCE_APP_CONTENT_ERROR_INTERNAL
CE-108781-5,0x80D9000C,SCE_APP_CONTENT_ERROR_INVALID_PKG
CE-108775-8,0x80D90006,SCE_APP_CONTENT_ERROR_MOUNT_FULL
CE-108784-8,0x80D9000F,SCE_APP_CONTENT_ERROR_MOUNT_OTHER_APP
CE-108788-2,0x80D90013,SCE_APP_CONTENT_ERROR_NETWORK
